gain_band,band_lower,num_taxpayers_thousands,total_gains_millions,share_of_gains_pct,share_of_taxpayers_pct,cumul_gains_from_top_pct,cumul_taxpayers_from_top_pct
£0+,0.0,2.0,1.0,0.0,0.6,100.1,100.6
"£3,000+",3000.0,,1.0,0.0,,100.1,
"£6,000+",6000.0,61.0,461.0,0.7,17.0,100.1,100.0
"£10,000+",10000.0,23.0,251.0,0.4,6.4,99.4,83.0
"£12,300+",12300.0,79.0,1418.0,2.3,22.0,99.0,76.6
"£25,000+",25000.0,74.0,2645.0,4.2,20.6,96.7,54.6
"£50,000+",50000.0,53.0,3731.0,5.9,14.8,92.5,34.0
"£100,000+",100000.0,37.0,5649.0,9.0,10.3,86.6,19.200000000000003
"£250,000+",250000.0,14.0,4766.0,7.6,3.9,77.6,8.9
"£500,000+",500000.0,8.0,5705.0,9.1,2.2,70.0,5.0
"£1,000,000+",1000000.0,5.0,6390.0,10.2,1.4,60.900000000000006,2.8
"£2,000,000+",2000000.0,3.0,9189.0,14.6,0.8,50.7,1.4
"£5,000,000+",5000000.0,2.0,22714.0,36.1,0.6,36.1,0.6
