region,year,ratio
East Midlands,1997,3.17
East Midlands,1998,3.26
East Midlands,1999,3.42
East Midlands,2000,3.46
East Midlands,2001,3.72
East Midlands,2002,4.18
East Midlands,2003,5.04
East Midlands,2004,5.94
East Midlands,2005,6.07
East Midlands,2006,6.15
East Midlands,2007,6.43
East Midlands,2008,6.1
East Midlands,2009,5.42
East Midlands,2010,5.8
East Midlands,2011,5.71
East Midlands,2012,5.58
East Midlands,2013,5.62
East Midlands,2014,5.94
East Midlands,2015,6.28
East Midlands,2016,6.49
East Midlands,2017,6.84
East Midlands,2018,6.96
East Midlands,2019,6.86
East Midlands,2020,6.89
East Midlands,2021,8.04
East Midlands,2022,7.81
East Midlands,2023,7.83
East Midlands,2024,7.23
East Midlands,2025,7.02
East of England,1997,3.68
East of England,1998,3.85
East of England,1999,4.11
East of England,2000,4.42
East of England,2001,4.78
East of England,2002,5.78
East of England,2003,6.51
East of England,2004,7.19
East of England,2005,7.39
East of England,2006,7.44
East of England,2007,7.77
East of England,2008,7.62
East of England,2009,6.86
East of England,2010,7.45
East of England,2011,7.32
East of England,2012,7.27
East of England,2013,7.43
East of England,2014,7.83
East of England,2015,8.42
East of England,2016,8.96
East of England,2017,9.66
East of England,2018,9.78
East of England,2019,9.47
East of England,2020,9.51
East of England,2021,10.57
East of England,2022,10.27
East of England,2023,10.04
East of England,2024,9.2
East of England,2025,9.02
England,1997,3.54
England,1998,3.67
England,1999,3.96
England,2000,4.19
England,2001,4.5
England,2002,5.12
England,2003,5.93
England,2004,6.6
England,2005,6.79
England,2006,6.95
England,2007,7.15
England,2008,6.97
England,2009,6.4
England,2010,6.85
England,2011,6.8
England,2012,6.77
England,2013,6.76
England,2014,7.09
England,2015,7.54
England,2016,7.72
England,2017,7.91
England,2018,8.04
England,2019,7.88
England,2020,7.86
England,2021,9.06
England,2022,8.56
England,2023,8.45
England,2024,7.84
England,2025,7.63
England and Wales,1997,3.55
England and Wales,1998,3.66
England and Wales,1999,3.89
England and Wales,2000,4.13
England and Wales,2001,4.42
England and Wales,2002,5.06
England and Wales,2003,5.85
England and Wales,2004,6.53
England and Wales,2005,6.74
England and Wales,2006,6.96
England and Wales,2007,7.17
England and Wales,2008,6.9
England and Wales,2009,6.35
England and Wales,2010,6.85
England and Wales,2011,6.74
England and Wales,2012,6.76
England and Wales,2013,6.74
England and Wales,2014,6.95
England and Wales,2015,7.37
England and Wales,2016,7.59
England and Wales,2017,7.77
England and Wales,2018,7.85
England and Wales,2019,7.73
England and Wales,2020,7.82
England and Wales,2021,8.95
England and Wales,2022,8.45
England and Wales,2023,8.28
England and Wales,2024,7.74
England and Wales,2025,7.55
London,1997,4.0
London,1998,4.34
London,1999,4.94
London,2000,5.54
London,2001,5.95
London,2002,6.57
London,2003,7.1
London,2004,7.55
London,2005,7.66
London,2006,7.91
London,2007,7.94
London,2008,8.08
London,2009,7.42
London,2010,8.24
London,2011,8.52
London,2012,8.53
London,2013,8.96
London,2014,10.08
London,2015,11.05
London,2016,12.03
London,2017,12.38
London,2018,12.26
London,2019,12.05
London,2020,11.83
London,2021,12.86
London,2022,12.38
London,2023,11.77
London,2024,11.17
London,2025,10.61
North East,1997,2.98
North East,1998,3.01
North East,1999,3.07
North East,2000,2.98
North East,2001,3.02
North East,2002,3.29
North East,2003,3.95
North East,2004,4.78
North East,2005,5.18
North East,2006,5.68
North East,2007,5.79
North East,2008,5.56
North East,2009,5.2
North East,2010,5.4
North East,2011,5.12
North East,2012,5.0
North East,2013,5.02
North East,2014,5.02
North East,2015,5.15
North East,2016,5.22
North East,2017,5.21
North East,2018,5.31
North East,2019,5.21
North East,2020,5.21
North East,2021,5.81
North East,2022,5.25
North East,2023,5.34
North East,2024,5.07
North East,2025,5.0
North West,1997,3.01
North West,1998,3.01
North West,1999,3.09
North West,2000,3.13
North West,2001,3.23
North West,2002,3.51
North West,2003,4.02
North West,2004,4.87
North West,2005,5.35
North West,2006,5.68
North West,2007,5.83
North West,2008,5.58
North West,2009,5.2
North West,2010,5.47
North West,2011,5.28
North West,2012,5.24
North West,2013,5.18
North West,2014,5.42
North West,2015,5.55
North West,2016,5.64
North West,2017,5.79
North West,2018,5.84
North West,2019,5.86
North West,2020,5.91
North West,2021,6.78
North West,2022,6.52
North West,2023,6.35
North West,2024,6.11
North West,2025,5.92
South East,1997,4.17
South East,1998,4.43
South East,1999,4.75
South East,2000,5.35
South East,2001,5.88
South East,2002,6.38
South East,2003,7.22
South East,2004,7.62
South East,2005,7.84
South East,2006,8.02
South East,2007,8.4
South East,2008,8.22
South East,2009,7.28
South East,2010,8.11
South East,2011,8.07
South East,2012,7.99
South East,2013,8.26
South East,2014,8.56
South East,2015,9.13
South East,2016,9.76
South East,2017,10.25
South East,2018,10.37
South East,2019,10.05
South East,2020,10.01
South East,2021,11.12
South East,2022,10.87
South East,2023,10.54
South East,2024,9.73
South East,2025,9.58
South West,1997,3.78
South West,1998,3.96
South West,1999,4.24
South West,2000,4.59
South West,2001,5.04
South West,2002,5.98
South West,2003,7.0
South West,2004,7.73
South West,2005,7.99
South West,2006,8.02
South West,2007,8.29
South West,2008,8.03
South West,2009,7.24
South West,2010,7.76
South West,2011,7.61
South West,2012,7.6
South West,2013,7.53
South West,2014,7.78
South West,2015,8.17
South West,2016,8.53
South West,2017,8.85
South West,2018,8.92
South West,2019,8.77
South West,2020,8.74
South West,2021,10.0
South West,2022,9.56
South West,2023,9.37
South West,2024,8.63
South West,2025,8.33
Wales,1997,3.0
Wales,1998,3.04
Wales,1999,3.16
Wales,2000,3.26
Wales,2001,3.33
Wales,2002,3.71
Wales,2003,4.31
Wales,2004,5.43
Wales,2005,6.01
Wales,2006,6.25
Wales,2007,6.59
Wales,2008,6.32
Wales,2009,5.7
Wales,2010,5.82
Wales,2011,5.6
Wales,2012,5.63
Wales,2013,5.54
Wales,2014,5.64
Wales,2015,5.74
Wales,2016,5.82
Wales,2017,5.76
Wales,2018,5.92
Wales,2019,5.83
Wales,2020,5.88
Wales,2021,6.57
Wales,2022,6.43
Wales,2023,6.24
Wales,2024,6.13
Wales,2025,5.95
West Midlands,1997,3.4
West Midlands,1998,3.35
West Midlands,1999,3.53
West Midlands,2000,3.68
West Midlands,2001,3.92
West Midlands,2002,4.42
West Midlands,2003,5.21
West Midlands,2004,6.02
West Midlands,2005,6.2
West Midlands,2006,6.36
West Midlands,2007,6.48
West Midlands,2008,6.08
West Midlands,2009,5.84
West Midlands,2010,6.19
West Midlands,2011,5.93
West Midlands,2012,5.9
West Midlands,2013,5.84
West Midlands,2014,6.21
West Midlands,2015,6.27
West Midlands,2016,6.38
West Midlands,2017,6.63
West Midlands,2018,6.79
West Midlands,2019,6.83
West Midlands,2020,6.85
West Midlands,2021,7.69
West Midlands,2022,7.39
West Midlands,2023,7.35
West Midlands,2024,7.01
West Midlands,2025,6.8
Yorkshire and The Humber,1997,3.12
Yorkshire and The Humber,1998,3.05
Yorkshire and The Humber,1999,3.15
Yorkshire and The Humber,2000,3.14
Yorkshire and The Humber,2001,3.23
Yorkshire and The Humber,2002,3.55
Yorkshire and The Humber,2003,4.2
Yorkshire and The Humber,2004,5.14
Yorkshire and The Humber,2005,5.5
Yorkshire and The Humber,2006,5.77
Yorkshire and The Humber,2007,6.04
Yorkshire and The Humber,2008,5.74
Yorkshire and The Humber,2009,5.29
Yorkshire and The Humber,2010,5.66
Yorkshire and The Humber,2011,5.39
Yorkshire and The Humber,2012,5.35
Yorkshire and The Humber,2013,5.29
Yorkshire and The Humber,2014,5.54
Yorkshire and The Humber,2015,5.68
Yorkshire and The Humber,2016,5.78
Yorkshire and The Humber,2017,5.89
Yorkshire and The Humber,2018,5.95
Yorkshire and The Humber,2019,5.92
Yorkshire and The Humber,2020,5.92
Yorkshire and The Humber,2021,6.61
Yorkshire and The Humber,2022,6.26
Yorkshire and The Humber,2023,6.42
Yorkshire and The Humber,2024,6.01
Yorkshire and The Humber,2025,6.03
