variable,country,year,value,percentile
shweal_p90p100_992_j,GB,1820,0.9458,p90p100
shweal_p90p100_992_j,GB,1850,0.9498,p90p100
shweal_p90p100_992_j,GB,1880,0.9695,p90p100
shweal_p90p100_992_j,GB,1895,0.9808,p90p100
shweal_p90p100_992_j,GB,1896,0.9811,p90p100
shweal_p90p100_992_j,GB,1897,0.9618,p90p100
shweal_p90p100_992_j,GB,1898,0.9765,p90p100
shweal_p90p100_992_j,GB,1899,0.9484,p90p100
shweal_p90p100_992_j,GB,1900,0.9639,p90p100
shweal_p90p100_992_j,GB,1901,0.9257,p90p100
shweal_p90p100_992_j,GB,1902,0.9647,p90p100
shweal_p90p100_992_j,GB,1903,0.9592,p90p100
shweal_p90p100_992_j,GB,1904,0.9705,p90p100
shweal_p90p100_992_j,GB,1905,0.9641,p90p100
shweal_p90p100_992_j,GB,1906,0.9352,p90p100
shweal_p90p100_992_j,GB,1907,0.9221,p90p100
shweal_p90p100_992_j,GB,1908,0.9601,p90p100
shweal_p90p100_992_j,GB,1909,0.9216,p90p100
shweal_p90p100_992_j,GB,1910,0.9447,p90p100
shweal_p90p100_992_j,GB,1911,0.971,p90p100
shweal_p90p100_992_j,GB,1912,0.9683,p90p100
shweal_p90p100_992_j,GB,1913,0.972,p90p100
shweal_p90p100_992_j,GB,1914,0.9882,p90p100
shweal_p90p100_992_j,GB,1919,0.9182,p90p100
shweal_p90p100_992_j,GB,1920,0.9408,p90p100
shweal_p90p100_992_j,GB,1921,0.9202,p90p100
shweal_p90p100_992_j,GB,1922,0.925,p90p100
shweal_p90p100_992_j,GB,1923,0.9133,p90p100
shweal_p90p100_992_j,GB,1924,0.9184,p90p100
shweal_p90p100_992_j,GB,1925,0.9066,p90p100
shweal_p90p100_992_j,GB,1926,0.9213,p90p100
shweal_p90p100_992_j,GB,1927,0.924,p90p100
shweal_p90p100_992_j,GB,1928,0.9178,p90p100
shweal_p90p100_992_j,GB,1929,0.927,p90p100
shweal_p90p100_992_j,GB,1930,0.9051,p90p100
shweal_p90p100_992_j,GB,1931,0.9237,p90p100
shweal_p90p100_992_j,GB,1932,0.9086,p90p100
shweal_p90p100_992_j,GB,1933,0.9081,p90p100
shweal_p90p100_992_j,GB,1934,0.9225,p90p100
shweal_p90p100_992_j,GB,1935,0.92,p90p100
shweal_p90p100_992_j,GB,1936,0.9279,p90p100
shweal_p90p100_992_j,GB,1937,0.9214,p90p100
shweal_p90p100_992_j,GB,1938,0.9027,p90p100
shweal_p90p100_992_j,GB,1939,0.9084,p90p100
shweal_p90p100_992_j,GB,1940,0.9048,p90p100
shweal_p90p100_992_j,GB,1941,0.8962,p90p100
shweal_p90p100_992_j,GB,1946,0.9165,p90p100
shweal_p90p100_992_j,GB,1947,0.9085,p90p100
shweal_p90p100_992_j,GB,1948,0.9105,p90p100
shweal_p90p100_992_j,GB,1949,0.8977,p90p100
shweal_p90p100_992_j,GB,1950,0.8649,p90p100
shweal_p90p100_992_j,GB,1951,0.8513000000000001,p90p100
shweal_p90p100_992_j,GB,1952,0.8459,p90p100
shweal_p90p100_992_j,GB,1953,0.8510000000000001,p90p100
shweal_p90p100_992_j,GB,1954,0.8499,p90p100
